Moriori,English,French
tehi,one,un
teru,two,deux
toru,three,trois
tewha,four,quatre
terima,five,cinq
teono,six,six
tewhitu,seven,sept
tewaru,eight,huit
teiwa,nine,neuf
tearauru,ten,dix
tahi te rau,one hundred,cent
